Time,Latitude,Longitude,Intensity
19490611  0000,20.2,-106.3,45
19490611  0600,20.2,-106.4,45
19490611  1200,20.2,-106.7,45
19490611  1800,20.3,-107.7,45
19490612  0000,20.4,-108.6,45
19490612  0600,20.5,-109.4,45
19490612  1200,20.6,-110.2,45
19490617  1200,14.1,-107.0,45
19490617  1800,14.6,-107.7,45
19490618  0000,15.0,-108.4,45
19490618  0600,15.4,-109.2,45
19490618  1200,15.7,-110.0,45
19490618  1800,16.0,-110.8,45
19490619  0000,16.3,-111.6,45
19490619  0600,16.7,-112.3,45
19490619  1200,17.1,-112.9,45
19490619  1800,17.5,-113.5,45
19490620  0000,18.0,-114.1,45
19490620  0600,18.4,-114.6,45
19490620  1200,18.9,-115.1,45
19490620  1800,19.4,-115.6,45
19490621  0000,19.9,-116.0,45
19490621  0600,20.4,-116.4,45
19490621  1200,21.0,-116.7,45
19490621  1800,21.5,-117.1,45
19490622  0000,22.0,-117.5,45
19490622  0600,22.5,-117.8,45
19490622  1200,23.1,-118.0,45
19490622  1800,23.9,-118.0,45
19490623  0000,24.7,-117.7,45
19490623  0600,25.4,-117.4,45
19490623  1200,26.0,-117.0,45
19490903  1200,17.3,-106.3,45
19490903  1800,17.6,-106.6,45
19490904  0000,17.9,-106.8,45
19490904  0600,18.4,-106.8,45
19490904  1200,18.8,-106.9,45
19490904  1800,18.9,-106.9,45
19490905  0000,19.0,-107.0,45
19490905  0600,19.0,-107.1,45
19490905  1200,19.1,-107.2,45
19490905  1800,19.6,-107.9,45
19490906  0000,20.2,-108.8,45
19490906  0600,20.7,-109.4,45
19490906  1200,21.2,-110.0,45
19490906  1800,22.0,-110.8,45
19490907  0000,22.9,-111.7,45
19490907  0600,23.8,-112.8,45
19490907  1200,24.8,-113.8,45
19490907  1800,25.5,-114.5,45
19490908  0000,26.2,-115.2,45
19490908  0600,27.6,-115.9,45
19490908  1200,28.6,-116.4,45
19490908  1800,28.4,-116.4,45
19490909  0000,28.2,-116.4,45
19490909  0600,28.1,-116.4,45
19490909  1200,28.0,-116.5,45
19490909  1200,19.3,-108.6,75
19490909  1800,20.2,-109.4,75
19490910  0000,21.2,-110.2,75
19490910  0600,21.8,-110.6,75
19490910  1200,22.5,-110.9,75
19490910  1800,23.2,-111.0,75
19490911  0000,23.9,-111.0,75
19490911  0600,24.3,-111.0,75
19490911  1200,24.5,-110.9,75
19490917  1200,15.4,-101.3,45
19490917  1800,15.8,-102.8,45
19490918  0000,16.5,-103.9,45
19490918  0600,17.7,-104.6,45
19490918  1200,18.7,-105.4,45
19490918  1800,19.0,-106.1,45
19490919  0000,19.3,-106.7,45
19490919  0600,19.7,-107.3,45
19490919  1200,20.1,-107.9,45
19490929  0000,16.1,-107.4,25
19490929  0600,17.0,-107.2,45
19490929  1200,17.9,-107.3,75
19490929  1800,18.6,-107.9,75
19490930  0000,18.8,-108.8,45
19490930  0600,18.2,-110.1,45
19490930  1200,16.7,-111.6,25
19500614  1200,14.1,-98.2,75
19500614  1800,14.2,-98.5,75
19500615  0000,14.4,-98.9,75
19500615  0600,14.8,-99.5,75
19500615  1200,15.2,-99.9,75
19500615  1800,15.4,-100.0,75
19500616  0000,15.6,-100.1,75
19500616  0600,15.9,-100.2,75
19500616  1200,16.1,-100.3,75
19500616  1800,16.1,-100.6,75
19500617  0000,16.2,-101.1,75
19500617  0600,16.4,-101.6,75
19500617  1200,16.6,-102.1,75
19500617  1800,16.8,-102.8,75
19500618  0000,17.0,-103.6,75
19500618  0600,17.4,-105.0,75
19500618  1200,18.1,-106.0,75
19500618  1800,19.0,-106.0,75
19500619  0000,20.0,-106.0,75
19500619  0600,20.8,-106.0,75
19500619  1200,21.5,-106.0,75
19500703  1200,18.4,-105.9,75
19500703  1800,19.0,-106.3,75
19500704  0000,19.5,-106.7,75
19500704  0600,20.2,-107.2,75
19500704  1200,20.7,-107.8,75
19500704  1800,21.0,-108.4,75
19500705  0000,21.1,-109.0,75
19500705  0600,21.2,-109.7,75
